word,meaning,mnemonic,image,video,example,synonyms,antonyms,difficulty,category,setIds
Mopupunu,Perfect couple,Puchu,https://images.unsplash.com/photo-1506744038136-46273834b3fb?auto=format&fit=crop&w=400&q=80, https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,The guide obfuscated the real path to keep us safe.,"confuse, blur, befuddle","clarify, explain",hard,academic,sat
lucid,expressed clearly; easy to understand,लुसीड = लाइट = क्लियर,https://images.unsplash.com/photo-1465101046530-73398c7f28ca?auto=format&fit=crop&w=400&q=80, https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,She gave a lucid presentation on the topic.,"clear, intelligible","confusing, obscure",medium,common,sat
gregarious,fond of company; sociable,गाँव में ग्रेगरी सबका दोस्त है,https://images.unsplash.com/photo-1519125323398-675f0ddb6308?auto=format&fit=crop&w=400&q=80, https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,He was a popular and gregarious man.,"sociable, outgoing","reserved, unsociable",easy,common,sat
ubiquitous,"Present, appearing, or found everywhere",यू बिक गया हर जगह,, https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,Mobile phones are ubiquitous these days.,"omnipresent, pervasive","rare, scarce",medium,academic,sat
ephemeral,Lasting for a very short time,"इफ ए मेल आया, तुरंत चला गया",, https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,Fame in the film industry is often ephemeral.,"fleeting, transient","permanent, lasting",hard,academic,sat
altruistic,Showing a selfless concern for the well-being of others,All true stick together for others,, https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,Her altruistic nature made her popular among her friends.,"selfless, charitable","selfish, self-centered",medium,common,gre
belligerent,Hostile and aggressive,बेल (bell) बजाते ही लड़ाई शुरू,, https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,His belligerent attitude caused many problems.,"aggressive, hostile","peaceful, friendly",medium,academic,gre
cacophony,"A harsh, discordant mixture of sounds",काका फनी आवाज़ में गाते हैं,, https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,The cacophony in the market made it hard to concentrate.,"din, racket","harmony, silence",hard,academic,gre
pristine,In its original condition; unspoiled,Priya's teen room is always clean,, https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,The mountains are still in pristine condition.,"pure, spotless","dirty, spoiled",medium,common,gre
sagacious,Having or showing keen mental discernment and good judgment,सगा (relative) always gives wise advice,, https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,The sagacious leader guided the team to success.,"wise, prudent","foolish, ignorant",hard,academic,gre
lethargic,Affected by lethargy; sluggish and apathetic,"लेट (late) हो गया, energy नहीं है",, https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"After lunch, I always feel lethargic.","sluggish, inactive","energetic, active",easy,common,gre
magnanimous,Very generous or forgiving,मगन (happy) आदमी हमेशा माफ करता है,, https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,He was magnanimous in victory.,"generous, charitable","petty, mean",medium,academic,mylist
quixotic,Exceedingly idealistic; unrealistic and impractical,Quick exotic ideas are impractical,, https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,His quixotic plans were never realized.,"idealistic, impractical","realistic, pragmatic",hard,academic,mylistfawn,try to gain favor by extreme flattery,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"The media fawned over the handsome new CEO, praising his impeccable sense of style instead of asking more pointed questions.",,,medium,academic,gre
banal,repeated too often; overfamiliar through overuse,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,The professor used such banal expression that many students in the class either fell asleep from boredom or stayed awake to complete his sentences and humor friends.,,,medium,academic,gre
dissolution,a living full of debauchery and indulgence in sensual pleasure,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Many Roman emperors were known for their dissolution, indulging in unspeakable desires of the flesh.",,,medium,academic,gre
pejorative,expressing disapproval (usu. refers to a term),,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Most psychologists object to the pejorative term ""shrink"", believing that they expand the human mind, not limit it.",,,medium,academic,gre
peruse,to read very carefully,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Instead of perusing important documents, people all too often rush to the bottom of the page and plaster their signatures at the bottom.",,,medium,academic,gre
importune,beg persistently and urgently,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"After weeks of importuning the star to meet for a five-minute interview, the journalist finally got what she wanted.",,,medium,academic,gre
