Word/Phrase,Type,Level,Meaning,Example Sentence from Video,Mnemonic
build your vocabulary,Collocation,B2,To increase the number of words you know,"I want to help you build your vocabulary by learning collocations.","BUILD like a BUILDING — you add bricks (words) one by one to make it taller."
develop your vocabulary,Collocation,B2,To improve and expand your word knowledge,"You should develop your vocabulary to sound more natural.","Think of DEVELOPING a photo — hidden details become clearer over time, just like new words reveal meaning."
expand your vocabulary,Collocation,B2,To make your vocabulary wider and broader,"Learning collocations will expand your vocabulary.","EXPAND = spread outward. Imagine your vocabulary stretching like an expanding universe."
considerable amount,Collocation,B2,A very large quantity of something,"Building your vocabulary takes a considerable amount of time.","CONSIDER + ABLE = something worth considering because it's so big."
considerable difference,Collocation,B2,A very significant change or impact,"Learning collocations will make a considerable difference.","Considerable = CONSIDERABLY big enough to turn heads."
considerable progress,Collocation,B2,A lot of advancement or improvement,"If you follow my lessons, you will make considerable progress.","Imagine a CONSIDERABLE distance covered on a progress bar — it's nearly full."
considerable influence,Collocation,B2,A great power to affect people or events,"Use your considerable influence to convince your colleagues.","CONSIDERable = so big, you must CONSIDER its weight."
give feedback,Collocation,B2,To share your opinion or evaluation of something,"You may give feedback or provide feedback to help improve something.","GIVE = hand over your thoughts like a gift wrapped in opinion."
provide feedback,Collocation,B2,To offer information or opinions about performance,"A teacher will provide feedback on your writing.","PROVIDE = supply. You supply your reaction like fuel."
offer feedback,Collocation,B2,To volunteer your comments or opinions,"She offered feedback on my presentation to help me improve.","OFFER = put on the table. Like laying your thoughts out for someone to pick up."
receive feedback,Collocation,B2,To get comments or evaluations from someone else,"I received feedback that my lesson was very helpful.","RE-CEIVE = take IN. You receive feedback like receiving a letter."
positive feedback,Collocation,B2,Comments that praise or encourage,"Overwhelmingly, people want to receive positive feedback.","POSITIVE = plus sign (+). Add good energy to someone's effort."
negative feedback,Collocation,B2,Comments that criticize or point out flaws,"Negative feedback is also important for growth.","NEGATIVE = minus sign (−). It subtracts comfort but can add improvement."
deeply worried,Collocation,B2,Extremely anxious or concerned about something,"I am deeply worried about aging.","DEEPLY = dig DOWN deep into worry. It's not surface-level — it's underground-level stress."
deeply concerned,Collocation,B2,Very seriously troubled or anxious,"The US is deeply concerned about an escalating conflict.","DEEPLY + CONCERNED: Imagine being so concerned you dig a hole worrying about it."
deeply flawed,Collocation,B2,Having very serious weaknesses or imperfections,"He's deeply flawed, and somehow we raised a child.","A DEEPLY cracked vase — the flaw goes all the way through."
deeply sorry,Collocation,B2,Sincerely and profoundly apologetic,"He is deeply sorry for what he did.","DEEPLY SORRY = sorry from the soul, not just the surface."
deeply moved,Collocation,B2,Strongly affected emotionally by something,"I told him I was deeply moved by that statement.","MOVED = emotion moved you so deeply you nearly fell over."
deeply in love,Collocation,B2,Very intensely in love with someone,"We were so deeply in love with each other.","DEEPLY IN LOVE = love went underground — all the way to your core."
controversial issue,Collocation,B2,A topic that causes strong disagreement,"They were debating a controversial issue in parliament.","CONTRO-VERSY = counter-version. Two opposing versions of the truth fighting it out."
controversial decision,Collocation,B2,A choice that many people disagree with,"He made a controversial decision that divided the team.","Imagine making a decision and the whole room SPLITS in two."
controversial figure,Collocation,B2,A person who causes disagreement or strong reaction,"She is a highly controversial figure in politics.","A FIGURE = shape. A controversial figure is one that casts a jagged shadow."
highly controversial,Collocation,B2,Causing very strong disagreement or debate,"This is a highly controversial topic in today's world.","HIGHLY = stacked high. The controversy piles up like a skyscraper."
conventional wisdom,Collocation,B2,The generally accepted belief or opinion,"Conventional wisdom suggests we should resume hostilities.","CONVENTIONAL = ordinary, common. Wisdom that has become the default setting of society."
wisdom tooth,Collocation,B2,The last molar teeth that grow in adulthood,"I'm getting my wisdom teeth pulled.","Called WISDOM teeth because they arrive when you're supposedly wiser (as an adult). Ironic if they hurt."
call a meeting,Collocation,C1,To arrange for a meeting to take place,"The manager decided to call an emergency meeting.","CALL = summon. You're calling everyone in, like calling your dog's name."
call for a strike,Collocation,C1,To formally demand that workers stop working,"Union leaders called for a strike after talks broke down.","CALL FOR = demand loudly. Imagine workers chanting as their leader CALLS FOR action."
call for an election,Collocation,C1,To officially announce that an election will take place,"The prime minister called for an election after losing support.","CALLING voters to the booth — the leader picks up the phone and calls for democracy."
